"Account","Cont"
"Actions","Actiuni"
"All","Toate"
"Cancel","Anuleaza"
"Contact","Contact"
"Copyright © 2017 Surprize Turbo. All rights reserved.","Copyright © 2017 Surprize Turbo. Toate drepturile rezervate."
"Could not connect to database","Nu a fost posibila conectarea la baza de date"
"Could not send email. Please try again later.","Nu am putut trmite emailul. Incearca mai tarziu"
"Designed by Sutprize Turbo","Proiectat de Sutprize Turbo"
"Edit","Modifica"
"Email address","Adresa de email"
"Filter","Filtreaza"
"Home","Acasa"
"Login","Logare"
"Name","Nume"
"No","Nu"
"Please enter a valid email address","Introdu o adresa de email valida"
"Please fill in your name","Te rog introdu numele tau"
"Please make sure you filled all the required fields","Asigura-te ca ai completat toate campurile obligatorii"
"Please specify a subject","Te rog specifica un subiect"
"Please write the message we should receive","Te rog scrie mesajul pe care sa-l primim"
"Search","Cauta"
"Send","Trimite"
"Welcome","Bine ai venit"
"Yes","Da"